Month,Day,Year,Bee,Plant
10,3,1995,203,1
10,3,1995,216,140
10,3,1995,217,140
10,3,1995,276,140
10,3,1995,296,140
10,3,1995,350,29
10,3,1995,350,140
10,10,1995,216,119
10,10,1995,216,153
10,10,1995,216,158
10,10,1995,217,150
10,10,1995,217,153
10,10,1995,217,158
10,10,1995,335,80
10,10,1995,341,97
10,10,1995,341,150
10,10,1995,378,39
10,10,1995,378,79
10,10,1995,380,97
10,17,1995,222,29
10,17,1995,284,97
10,17,1995,350,97
10,17,1995,378,97
10,17,1995,378,120
10,24,1995,216,108
10,24,1995,238,31
10,24,1995,273,31
10,24,1995,277,97
10,24,1995,324,153
10,24,1995,344,31
10,24,1995,344,158
10,24,1995,378,108
10,24,1995,378,121
10,31,1995,216,35
10,31,1995,216,73
10,31,1995,216,74
10,31,1995,216,121
10,31,1995,217,35
10,31,1995,290,121
10,31,1995,296,121
10,31,1995,350,74
10,31,1995,351,74
10,31,1995,378,152
11,7,1995,216,151
11,7,1995,217,151
11,7,1995,279,31
11,23,1995,278,31
11,23,1995,344,31
11,23,1995,355,150
12,5,1995,290,58
12,5,1995,294,181
12,5,1995,301,181
12,5,1995,348,98
12,5,1995,351,181
12,5,1995,362,181
12,5,1995,378,58
12,19,1995,355,150
1,9,1996,216,133
1,9,1996,296,150
1,9,1996,341,150
1,25,1996,190,150
1,25,1996,355,150
2,6,1996,183,61
2,6,1996,216,59
2,6,1996,258,113
2,6,1996,291,124
2,6,1996,378,59
2,6,1996,378,106
2,6,1996,380,49
2,13,1996,221,130
2,13,1996,288,130
2,28,1996,185,86
2,28,1996,203,59
2,28,1996,212,40
2,28,1996,214,43
2,28,1996,214,61
2,28,1996,214,62
2,28,1996,228,13
2,28,1996,262,86
2,28,1996,312,169
2,28,1996,313,59
2,28,1996,338,86
2,28,1996,339,106
2,28,1996,361,86
2,28,1996,371,86
2,28,1996,378,43
2,28,1996,386,106
3,6,1996,271,150
3,19,1996,187,85
3,19,1996,190,43
3,19,1996,203,43
3,19,1996,203,172
3,19,1996,214,43
3,19,1996,223,172
3,19,1996,245,172
3,19,1996,268,172
3,19,1996,289,172
3,19,1996,290,172
3,19,1996,291,59
3,19,1996,295,43
3,19,1996,295,172
3,19,1996,296,172
3,19,1996,308,172
3,19,1996,312,172
3,19,1996,317,43
3,19,1996,320,172
3,19,1996,322,59
3,19,1996,322,172
3,19,1996,333,172
3,19,1996,341,2
3,19,1996,350,43
3,19,1996,378,43
3,26,1996,221,162
3,26,1996,225,150
3,26,1996,279,150
3,26,1996,283,148
3,26,1996,287,162
3,26,1996,348,21
3,26,1996,364,81
4,3,1996,203,172
4,3,1996,211,59
4,3,1996,216,16
4,3,1996,225,16
4,3,1996,231,16
4,3,1996,233,16
4,3,1996,247,148
4,3,1996,247,172
4,3,1996,248,172
